2001 Jan 1,"87th Rose Bowl: #4 Washington beats #14 Purdue, 34-24"
2001 Jan 1,"30th Fiesta Bowl: #5 Oregon State beats #10 Notre Dame, 41-9"
2001 Jan 2,Sila Calderón becomes the first female Governor of Puerto Rico.
2001 Jan 2,"67th Sugar Bowl: #3 Miami beats #7 Florida, 37-20"
2001 Jan 3,"College Football, 3rd BCS National Championship, Pro Player Stadium, Miami Gardens: #1 Oklahoma beats #2 Florida State, 13-2, at 67th Orange Bowl"
2001 Jan 4,Rapper Vanilla Ice spends night in jail after allegedly ripping out some of his wife's hair during a row
2001 Jan 4,"Washington Wizards forward Michael Jordan becomes 4th player in NBA history to score 30,000 career points; hits a free throw in 2nd quarter of an 89-83 win against his old team, the Chicago Bulls"
2001 Jan 5,A report reveals that doctor and former GP Harold Shipman has potentially killed hundreds of patients
2001 Jan 6,"Hopman Cup Tennis, Perth: Roger Federer beats American Jan-Michael Gambill 6-4, 6-3 to clinch Switzerland's unassailable 2-0 lead, (ends 2-1)"
2001 Jan 7,27th People's Choice Awards: Mel Gibson & Julia Roberts win (Dramatic Motion Picture) and Drew Carey & Jennifer Aniston win (TV)
2001 Jan 8,28th American Music Awards: Faith Hill & Kid Rock win
2001 Jan 8,"The identities of 2 boys who murdered a toddler in 1993 will be kept secret, the High Court rules"
2001 Jan 9,"ABC-TV deputs ""The Mole"" for the first time"
2001 Jan 9,"Shenzhou 2, an unmanned Chinese spacecraft, is launched."
2001 Jan 9,"Apple announced iTunes at the Macworld Expo in San Francisco, for organizing and playing digital music and videos"
2001 Jan 10, A large piece of the chalk cliff at Beachy Head collapses into the sea.
2001 Jan 10," The Arctic National Wildlife Refuge will not be designated as a national monument, the White House announces; a move environmentalist groups had been pressing for to prevent oil drilling"
2001 Jan 11, New York Knicks hold an opponent under 100 points for NBA-record 29th straight game in a 76-75 loss to the Houston Rockets; streak snaps 46-year-old NBA record of 28 straight set by the Fort Wayne Pistons in 1954-55
2001 Jan 12, Downtown Disney opens to the public in Anaheim
2001 Jan 12," Disney Channel series ""Lizzie McGuire"" premieres starring Hilary Duff"
2001 Jan 13," Earthquake measuring magnitude 7.6 strikes El Salvador, killing more than 840 people"
