1999 Jan 1,International Year of Elderly
1999 Jan 1,The Euro currency is introduced.
1999 Jan 1,"85th Rose Bowl: #9 Wisconsin beats #6 UCLA, 38-31"
1999 Jan 1,"65th Sugar Bowl: #3 Ohio State beats #8 Texas A&M, 24-14"
1999 Jan 2,"A brutal snowstorm smashes into the Midwestern United States, causing 14 inches (359 mm) of snow in Milwaukee, Wisconsin, and 19 inches (487 mm) in Chicago, where temperatures plunge to -13°F (-25°C); 68 deaths are reported."
1999 Jan 2,"65th Orange Bowl: #7 Florida beats #18 Syracuse, 31-10"
1999 Jan 3,"Israel detains, and later expels, 14 members of Concerned Christians."
1999 Jan 3,"NASA's Mars Polar Lander launched, mission later fails after communication lost trying to land on Mars (Dec 3 1999)"
1999 Jan 4,Former professional wrestler Jesse Ventura is sworn in as Governor of Minnesota
1999 Jan 4,"Gunmen open fire on Shiite Muslims worshipping in an Islamabad mosque, killing 16 people and injuring 25."
1999 Jan 4,"College Football, 1st BCS National Championship, Sun Devil Stadium, Tempe, AZ: #1 Tennessee beats #2 Florida State, 23-16, at 28th Fiesta Bowl"
1999 Jan 6,An agreement is reached by the NBA and the players union to end a 204-day lockout which shortened the season by 50 games
1999 Jan 7,President Bill Clinton's Impeachment trial begins in the US Senate after the House voted to impeach him for lying about his affair with Monica Lewinsky
1999 Jan 7,NBA Board of Governors unanimously ratifies a new 6-year collective bargaining agreement between the league and the National Basketball Players Association
1999 Jan 8,"Tree planting protest against the privatisation of Karura Forest, including Wangari Maathai, attacked in Kenya prompting outrage"
1999 Jan 9,"Hopman Cup Tennis, Perth: Mark Philippoussis clinches Australia's unassailable 2-0 lead, (ends 2-1), with a 6-3, 7-6 win over Sweden's Jonas Björkman; Australia's first title"
1999 Jan 10, Fatboy Slim (Norman Cook) achieves his third UK No.1 single with 'Praise You'
1999 Jan 10, 25th People's Choice Awards: Tom Hanks & Sandra Bullock win (Dramatic Motion Picture) and Tim Allen & Helen Hunt win (TV)
1999 Jan 10," ""The Sopranos"", starring James Gandolfini as mobster Tony Soprano, debuts on HBO"
1999 Jan 11, 26th American Music Awards: Celine Dion & Eric Clapton win
1999 Jan 11, Marty Schottenheimer resigns as head coach of the Kansas City Chiefs
1999 Jan 11, Bülent Ecevit becomes Prime Minister of Turkey for the 4th time
1999 Jan 13, Basketball superstar Michael Jordan announces his second retirement just prior to start of lockout-shortened 1998-99 NBA season; returns in 2001 with Washington
1999 Jan 14," Mel Lastman, Mayor of Toronto, calls in the Army to help with snow removal and emergency medical evacuations after major snowstorm hits the city"
1999 Jan 15, The Racak incident: 45 Albanians in the Kosovo village of Racak are killed by Yugoslav security forces
1999 Jan 17," AFC Championship, Mile High Stadium, Denver: Denver Broncos beat New York Jets, 23-10; features infamous ""The Miss"", Vikings' PK Gary Anderson misses field goal late 4th quarter"
1999 Jan 17," NFC Championship, Metrodome, Minneapolis: Atlanta Falcons beat Minnesota Vikings, 30-27 (OT)"
1999 Jan 20, The China News Service announces new government restrictions on Internet use aimed especially at Internet cafés.
1999 Jan 21," In one of the largest drug busts in American history, the US Coast Guard intercepts a ship carrying 4,300 kg of cocaine"
1999 Jan 22, Australian missionary Graham Staines and his two sons are burned alive by radical Hindus while sleeping in their car in Eastern India
1999 Jan 24, David Duval eagles the 18th hole for a final round 59 to win the Bob Hope Chrysler Classic at PGA West; becomes only the 3rd player to fire a sub-60 round on the PGA Tour
1999 Jan 24," 49th NHL All-Star Game, Ice Palace, Tampa, FL: North America beats World, 8-6; MVP: Wayne Gretzky, NY Rangers, C"
1999 Jan 24," 56th Golden Globes: ""Saving Private Ryan"", Jim Carrey, and Cate Blanchett win"
1999 Jan 25," Earthquake hits Colombia, South America, killing around 300 and injuring 1000"
1999 Jan 25," After an inquiry into a corruption scandal, 6 International Olympic Committee members are expelled"
1999 Jan 25," Supernatural horror film ""The Blair Witch Project"" premieres at the Sundance Film festival"
1999 Jan 30," Australian Open Women's Tennis: Martina Hingis of Switzerland wins her 3rd consecutive Australian title; beats unseeded Amélie Mauresmo 6-2, 6-3"
1999 Jan 31," Seth MacFarlane's ""Family Guy"" first airs on Fox"
1999 Jan 31," Super Bowl XXXIII, Pro Player Stadium, Miami, FL: Denver Broncos beat Atlanta Falcons, 34-19; MVP: John Elway, Denver, QB"
1999 Jan 31," Australian Open Men's Tennis: Yevgeny Kafelnikov becomes first Russian, male or female, to win an Australian title; beats Thomas Enqvist of Sweden 4-6, 6-0, 6-3, 7-6"
1999 Jan 31," 15th Sundance Film Festival: ""Three Seasons"" wins Grand Jury Prize Dramatic"
1999 Feb 3,In Jammu and Kashmir the political party Democratic Janata Dal (Jammu and Kashmir) is revived.
1999 Feb 4,"MV New Carissa runs aground near Coos Bay, Oregon"
1999 Feb 4,"Unarmed West African immigrant Amadou Diallo is shot dead by four plainclothes New York City police officers on an unrelated stake-out, inflaming race-relations in the city."
1999 Feb 7,"NFL Pro Bowl, Aloha Stadium, Honolulu, HI: AFC beats NFC, 23-10;	Keyshawn Johnson, NY Jets, QB; Ty Law, New England Patriots, CB"
1999 Feb 7,"Crown Prince Abdullah becomes the King of Jordan on the death of his father, King Hussein."
1999 Feb 10," 49th Berlin International Film Festival: ""The Thin Red Line"" wins the Golden Bear"
