1977 Jan 1,1st woman formally ordained an Episcopal priest (Jacqueline Means)
1977 Jan 1,"Belgium reapportions 2,359 communities into 596"
1977 Jan 1,Czech intellects begin Human Rights Group Chapter 77
1977 Jan 1,"63rd Rose Bowl: #3 Southern California beats #2 Michigan, 14-6"
1977 Jan 1,"43rd Sugar Bowl: #1 Pittsburgh beats #4 Georgia, 27-3; Tony Dorsett runs for record 202 yards"
1977 Jan 1,"43rd Orange Bowl: #11 Ohio State beats #12 Colorado, 27-10"
1977 Jan 2,MLB Commissioner Bowie Kuhn suspends Atlanta Braves owner Ted Turner for one year due to tampering charges in Gary Matthews free-agency signing
1977 Jan 3,"Steve Wozniak and Steve Jobs incorporate Apple Computer, Inc"
1977 Jan 3,Former Home Secretary Roy Jenkins announces his intention to be Britain's first President of the European Commission
1977 Jan 3,"""The Police Tapes"" premiere on New York City TV station WNET, based somewhat on 1960s NYPD officers who worked in its South Bronx"
1977 Jan 4,Mary Shane hired by Chicago White Sox as 1st woman TV play-by-play announcer
1977 Jan 6,EMI records drop punk rock group Sex Pistols
1977 Jan 6,"Charter 77, a document criticising the Czech government's human rights abuses, is published in Prague"
1977 Jan 8,"Australian Open Women's Tennis: In an all-Australian final Kerry Melville Reid wins her first and only Grand Slam singles title; beats Dianne Fromholtz Balestrat 7-5, 6-2"
1977 Jan 9,"George Gershwin's ""Porgy & Bess"" closes at Uris Theater NYC after 122 performances"
1977 Jan 9,"Super Bowl XI, Rose Bowl, Pasadena, CA: Oakland Raiders beat Minnesota Vikings, 32-14; MVP: Fred Biletnikoff, Oakland, WR"
1977 Jan 9,"Australian Open Men's Tennis: American Roscoe Tanner wins his first and only Grand Slam event; beats Guillermo Vilas of Argentina 6-3, 6-3, 6-3"
1977 Jan 10, 20th hat trick in Islander history - Bobby Nystrom
1977 Jan 11, Bollingen Prize awarded to David Ignatow
1977 Jan 11, Cubs trade outfielder Rick Monday to Dodgers for Bill Buckner
1977 Jan 11," France releases Abu Daoud, a Palestinian suspected of involvement in massacre of Israeli athletes at 1972 Munich Olympics"
1977 Jan 12," ""Ipi Tombi"" opens at Harkness Theater NYC for 39 performances"
1977 Jan 12," Anti-French demonstrations takes place in Israel after Paris released Abu Daoud, responsible 1972 Munich massacre of Israeli athletes"
1977 Jan 14," ""Fantasy Island"" starring Ricardo Montalbán and Hervé Villechaize premieres on ABC TV"
1977 Jan 14," RCA releases David Bowie's 11th studio album, ""Low"""
1977 Jan 15," Coneheads debut on ""Saturday Night Live"""
1977 Jan 15," Festac '77, the Second World Black and African Festival of Arts and Culture, begins in Lagos, Nigeria"
1977 Jan 16, Cap's H Monahan scored on 2nd penalty shot against Islanders
1977 Jan 17," KC releases Tommy Davis, ends an 18-year career with 10 teams"
1977 Jan 17," NFL Pro Bowl, Seattle Kingdome: AFC beats NFC, 24-14; MVP: Mel Blount, Pittsburgh Steelers, CB"
1977 Jan 17, Zaire president Mobutu visits Belgium
1977 Jan 17," Gary Gilmore is executed by firing squad in the Utah state prison, convicted of murder"
1977 Jan 18, Pakistan cricket all-rounder Imran Khan takes 6 for 63 in the Australian 2nd innings for a match total of 12 to lead his side to an easy 8 wicket 3rd Test win in Sydney
1977 Jan 18, Scientists identify a previously unknown bacterium as the cause of the mysterious Legionnaires' disease.
1977 Jan 18," Australia's worst rail disaster occurs in Sydney, killing 83 people"
1977 Jan 19, Ernie Banks elected to Baseball Hall of Fame
1977 Jan 19, US President Ford pardons Iva Toguri D'Aquino (Tokyo Rose)
1977 Jan 19, World's largest crowd gathering - the Hindu Kumbh Mela in India attracts a then record 15 million people
1977 Jan 19," Snow falls in Miami, Florida. This is the only time in the history of the city that snowfall has occurred. It also fell in the Bahamas."
1977 Jan 20, George H. W. Bush ends his term as 11th director of CIA replaced by E. Henry Knoche as acting director
1977 Jan 21, US President Jimmy Carter pardons almost all Vietnam War draft evaders
1977 Jan 23," $1.5-million Serge Lepage dress exhibited, Paris"
1977 Jan 23," Mini-series ""Roots"" premieres on ABC"
