2011 Jan 1,"97th Rose Bowl: #3 TCU beats #4 Wisconsin, 21-19"
2011 Jan 1,"40th Fiesta Bowl: #9 Oklahoma beats #25 Connecticut, 48-20"
2011 Jan 2,"Fela! based on music and lyrics by Nigerian singer Fela Kuti, closes on Broadway after 463 performances and 3 Tony awards [1]"
2011 Jan 3,"77th Orange Bowl: #5 Stanford beats #12 Virginia Tech, 40-12"
2011 Jan 3,"Adrian Lewis of England wins his first PDC World Darts Championship with a 7-5 win over Scotsman Gary Anderson at the Alexandra Palace, London"
2011 Jan 4,"77th Sugar Bowl: #6 Ohio State beats #8 Arkansas, 31-26"
2011 Jan 6,37th People's Choice Awards: Johnny Depp & Kristen Stewart win (Movie Star) and Hugh Laurie & Lisa Edelstein win (TV Drama)
2011 Jan 7,"""The King's Speech"", starring Colin Firth, Geoffrey Rush, and Helena Bonham Carter, is released in United Kingdom"
2011 Jan 8,"Attempted assassination of Arizona congresswoman Gabrielle Giffords and subsequent shooting in Casas Adobes, Arizona at a Safeway grocery store kills 6 and wounds 13, including Giffords"
2011 Jan 8,"Hopman Cup Tennis, Perth: Americans Bethanie Mattek-Sands & John Isner beat Belgian pair Justine Henin & Ruben Bemelmans 6-1, 6-3 to clinch a 2-1 victory; 6th title for the United States"
2011 Jan 10, FIFA Ballon d'Or: Barcelona forward Lionel Messi wins 2nd straight award from teammates Andrés Iniesta & Xavi; Brazilian forward Marta wins women's award for 5th consecutive year
2011 Jan 10," Ian McKellen officially confirms that he will reprise the role of Gandalf in ""The Hobbit"" film adaptations"
2011 Jan 10," College Football, 13th BCS National Championship, University of Phoenix Stadium: #1 Auburn beats #2 Oregon, 22-19"
2011 Jan 14," Stampede near Sabarimala in Kerala, India kills 104 devotees and injures 100 more"
2011 Jan 14," Tunisian president Ben Ali, flees to Saudi Arabia after popular protests known as the Jasmine Revolution"
2011 Jan 14, 16th Critics' Choice Movie Awards: The Social Network wins Best Film
2011 Jan 15, Wikipedia the free internet encyclopedia turns 10 years old
2011 Jan 16," 68th Golden Globes: The Social Network, Colin Firth, & Natalie Portman win"
