2002 Jan 1,"The Open Skies mutual surveillance treaty, initially signed in 1992, officially comes into force."
2002 Jan 1,Euro banknotes and coins become legal tender in twelve of the European Union's member states.
2002 Jan 1,"Taiwan officially joins the World Trade Organization, as Chinese Taipei."
2002 Jan 1,"68th Sugar Bowl: #12 LSU beats #7 Illinois, 47-34"
2002 Jan 1,"31st Fiesta Bowl: #2 Oregon beats #3 Colorado, 38-16"
2002 Jan 2,Eduardo Duhalde is appointed interim President of Argentina by the Legislative Assembly.
2002 Jan 2,"68th Orange Bowl: #5 Florida beats #6 Maryland, 56-23"
2002 Jan 3,"College Football, 4th BCS National Championship, Rose Bowl, Pasadena: #1 Miami beats #2 Nebraska, 37-14, at 88th Rose Bowl"
2002 Jan 3,The Palestinian freighter Karine A is seized by Israeli forces in the Red Sea
2002 Jan 5,"Hopman Cup Tennis, Perth: Spain wins 2nd title; Arantxa Sánchez Vicario & Tommy Robredo beat American pair Monica Seles & Jan-Michael Gambill 6-4, 6-2 for a 2-1 victory"
2002 Jan 6,Daniel Bedingfield returns to No.1 on the UK singles chart for the second time with Gotta Get Thru This
2002 Jan 8,President George W. Bush signs into law the No Child Left Behind Act.
2002 Jan 9,Michael Jackson receives the Artist of the Century award at the American music awards
2002 Jan 9,29th American Music Awards: Janet Jackson & Lenny Kravitz win
2002 Jan 11, 7th Critics' Choice Movie Awards: A Beautiful Mind wins Best Film
2002 Jan 13," 28th People's Choice Awards: Tom Hanks & Julia Roberts win (Dramatic Motion Picture) and Kelsey Grammer, Ray Romano & Jennifer Aniston win (TV)"
2002 Jan 13," In a controversial move, Marty Schottenheimer is fired as head coach of the Washington Redskins after just one season"
2002 Jan 14, UK declared free of foot-and-mouth cattle disease
2002 Jan 16," UN Security Council unanimously establishes an arms embargo and freezes assets of Osama bin Laden, Al-Qaida, and the members of the Taliban"
2002 Jan 17," Mount Nyiragongo erupts in the Democratic Republic of the Congo, displacing an estimated 400,000 people."
2002 Jan 18, Sierra Leone Civil War finally declared over.
2002 Jan 19," ""Tuck Rule Game"" AFC Divisional Playoff Game; with under 2 minutes to play New England Patriots trail Oakland Raiders, 13-10 in a driving snowstorm, when a Tom Brady fumble ruled an incomplete pass. Patriots win 16-13 in overtime"
2002 Jan 20, Photographs showing al-Qaeda and Taliban suspects shackled and masked are published by the United States military
2002 Jan 20," 59th Golden Globes: ""A Beautiful Mind"", Russell Crowe, & Sissy Spacek win"
