2003 Jan 1,"89th Rose Bowl: #8 Oklahoma beats #7 Washington State, 34-14"
2003 Jan 1,"69th Sugar Bowl: #4 Georgia beats #16 Florida State, 26-13"
2003 Jan 2,"69th Orange Bowl: #5 Southern California beats #3 Iowa, 38-17"
2003 Jan 3,"College Football, 5th BCS National Championship, Sun Devil Stadium, Tempe, AZ: #2 Ohio State beats #1 Miami, 31-24, at 32nd Fiesta Bowl"
2003 Jan 4,"Hopman Cup Tennis, Perth: Serena Williams & James Blake beat Australian pair Alicia Molik & Lleyton Hewitt 6-3, 6-2 for a 3-0 win, and 2nd American title"
2003 Jan 7,"""In Da Club"" single is released by 50 Cent (MTV Video Music Award Best Rap Video and Best New Artist 2003, Billboard Song of the Year 2003)"
2003 Jan 10," NBA announces Charlotte, N.C. is awarded an NBA expansion franchise to be known as the Charlotte Bobcats and start play in 2004-05; eventually changes to the Charlotte Hornets for the 2014-15 season"
2003 Jan 11," Washington right wing Jaromír Jágr scores his 10th career hat-trick and adds 4 assists for 7 points and his 1,200th NHL point in a 12-2 win against Florida; Jágr has 20+ goals in each of his 13 NHL seasons"
2003 Jan 12, 29th People's Choice Awards: Mel Gibson & Julia Roberts win (Dramatic Motion Picture) and Ray Romano & Jennifer Aniston win (TV)
2003 Jan 13, Rock musician Pete Townshend of The Who was arrested in London on suspicion of possessing indecent images of children. He was later cleared.
2003 Jan 13, 30th American Music Awards: Sheryl Crow & Eminem win
2003 Jan 16, The Space Shuttle Columbia takes off for mission STS-107 which would be its final one. Columbia disintegrates 16 days later on re-entry.
2003 Jan 17, 8th Critics' Choice Movie Awards: Chicago Best Picture
2003 Jan 18," A bushfire kills 4 people and destroys more than 500 homes in Canberra, Australia."
2003 Jan 19," AFC Championship, Network Associates Coliseum, Oakland: Oakland Raiders beat Tennessee Titans, 41-24"
2003 Jan 19," NFC Championship, Veterans Stadium, Philadelphia: Tampa Bay Buccaneers beat Philadelphia Eagles, 27-10"
2003 Jan 19," 60th Golden Globes: The Hours, Jack Nicholson, & Nicole Kidman win"
2003 Jan 22," Last successful contact with NASA spacecraft Pioneer 10, one of the most distant man-made objects"
2003 Jan 23, Final communication between Earth and NASA space probe Pioneer 10
2003 Jan 24, The United States Department of Homeland Security officially begins operation
2003 Jan 25," Australian Open Women's Tennis: Serena Williams wins 5th Grand Slam singles title and 4th straight; beats older sister Venus Williams 7-6, 3-6, 6-4 for her first Australian title"
2003 Jan 26," Super Bowl XXXVII, Qualc:omm Stadium, San Diego, CA: Tampa Bay Buccaneers beat Oakland Raiders, 48-21; MVP: Dexter Jackson, Tampa Bay, S"
2003 Jan 26," Australian Open Men's Tennis: Andre Agassi of the US wins his 8th and last Grand Slam title; beats Rainer Schuttler of Germany 6-2, 6-2, 6-1"
2003 Jan 26," 19th Sundance Film Festival: ""American Splendor"", directed by Shari Springer Berman and Robert Pulcini, wins Grand Jury Prize Dramatic"
2003 Jan 29, Sally Clark cleared of murdering her 2 sons after more than 3 years of prison in what was a life sentence
2003 Jan 30, Belgium legally recognizes same-sex marriage.
2003 Jan 30, Richard Reid sentenced to life in prison for attempting to bomb an American Airlines flight with 197 on board
2003 Jan 31," The Waterfall rail accident occurs near Waterfall, New South Wales, Australia."
2003 Feb 1,"Space Shuttle Columbia disintegrates during reentry into the Earth's atmosphere, killing all seven astronauts aboard."
2003 Feb 2,Jennifer Lopez starts a three week run at No.1 on the US singles chart with 'All I Have'
2003 Feb 2,Russian pop girl duo Tatu start a four-week run at No.1 on the UK singles chart with 'All The Things She Said'
2003 Feb 2,"NFL Pro Bowl, Aloha Stadium, Honolulu, HI: AFC beats NFC, 45-23; MVP: Ricky Williams, Miami Dolphins, RB"
2003 Feb 2,"53rd NHL All-Star Game, Office Depot Centre, Sunrise, FL: West beats East, 6-5; MVP: Danny Heatley, Atlanta Thrashers, LW"
2003 Feb 4,The Federal Republic of Yugoslavia is officially renamed Serbia and Montenegro and adopts a new constitution.
2003 Feb 6,"53rd Berlin International Film Festival: ""In This World"" wins the Golden Bear"
2003 Feb 6,50 Cent releases his album “Get Rich or Die Trying’” (2003 Billboard Album of the Year)
2003 Feb 9,"52nd NBA All-Star Game, Philips Arena, Atlanta, GA: West beats East, 155-145 (2 OT); MVP: Kevin Garnett, Minnesota Timberwolves, F"
2003 Feb 10, France and Belgium break the NATO procedure of silent approval concerning the timing of protective measures for Turkey in case of a possible war with Iraq.
2003 Feb 15, An estimated 6-11 million people around the world take to the streets to protest against war with Iraq
2003 Feb 16, 45th Daytona 500: Michael Waltrip wins for the second time in 3 years; race ends after 109 laps when rain pours on the track
2003 Feb 17, The London Congestion Charge scheme begins.
2003 Feb 18," Comet C/2002 V1 (NEAT) makes perihelion, seen by SOHO."
2003 Feb 18, Nearly 200 people die in the Daegu subway fire in South Korea
2003 Feb 20," During a Great White concert in West Warwick, Rhode Island, a pyrotechnics display sets the club ablaze, killing 100 and injuring over 300 others."
2003 Feb 21," Bill Maher's political talk show ""Real Time with Bill Maher"" debuts on HBO"
2003 Feb 22, Pakistani pace bowler Shoaib Akhtar bowls the fastest ball recorded in cricket history at 100.2 mph (161.3 km/h)
2003 Feb 23," 45th Grammy Awards: Don't Know Why, Norah Jones wins"
2003 Feb 23," 49th National Film Awards (India): ""Dweepa"" wins the Golden Lotus"
2003 Feb 23," 56th British Film and Television Awards (BAFTAS): ""The Pianist"" Best Film, Roman Polanski Best Director"
2003 Feb 27," Former Bosnian Serb leader Biljana Plavsic is sentenced by the U.N. tribunal in The Hague, Netherlands, to 11 years in prison"
2003 Feb 27, Rowan Williams is enthroned as the 104th Archbishop of Canterbury.
2003 Mar 1,Management of the United States Customs Service and the United States Secret Service move to the United States Department of Homeland Security.
2003 Mar 1,"17th Soul Train Music Awards: LL Cool J, Mariah Carey & Nelly win"
2003 Mar 1,World light heavyweight boxing champion Roy Jones Jr. wins a unanimous decision against champion John Ruiz to capture the WBA heavyweight crown in Las Vegas
2003 Mar 1,"Nashville's Barry Trotz sets NHL record for most games coached with an expansion team from inception as Predators score a 5-4 OT win over Chicago; his 392nd game, Terry Crisp 391 with Tampa Bay"
2003 Mar 1,"Legendary Mount St. Mary's basketball head coach Jim Phelan wins final game of 49 year career as Mountaineers win 60-56 over Central Connecticut State; Phelan: 830 wins in NCAA record 1,354 games"
2003 Mar 2,The first International Symposium on Taiwan Sign Language Linguistics is held at Chung Cheng University.
2003 Mar 2,"America's Cup, Auckland: Swiss yacht Alinghi beats Team New Zealand by 0.44s to sweep series, 5-0; Alinghi's Russell Coutts wins last 14 America's Cup races he's competed in as skipper; most in history"
2003 Mar 2,"Fast bowler Andy Bichel takes career best 7 for 20 as Australia beats England by 2 wickets in a Cricket World Cup match in Port Elizabeth, South Africa; Australia unbeaten in record 12 ODI games"
2003 Mar 5,"In Haifa, 17 Israeli civilians are killed by a Hamas suicide bomb in the Haifa bus 37 massacre."
2003 Mar 8,"34th NAACP Image Awards: ""Antwone Fisher"" wins Outstanding Motion Picture"
2003 Mar 10," ""My Front Porch Looking In"" single released by Lonestar (Billboard Song of the Year 2003)"
2003 Mar 11, The International Criminal Court holds its inaugural session in The Hague.
2003 Mar 12," Zoran Đinđić, Prime Minister of Serbia, is assassinated in Belgrade."
2003 Mar 12, Elizabeth Smart found after having been missing for 9 months.
2003 Mar 13," The journal Nature reports that 350,000-year-old footprints of an upright-walking human have been found in Italy"
2003 Mar 14, Start of weekend of protests against war in Iraq that are attended by millions
2003 Mar 15, Hu Jintao becomes President of the People's Republic of China
2003 Mar 15," 24th Big East Men's Basketball Tournament: Pittsburgh beats Connecticut, 74-56"
2003 Mar 16," The largest coordinated worldwide vigil takes place, as part of the global protests against Iraq war."
2003 Mar 16," 50th ACC Men's Basketball Tournament: #12 Duke beats NC State, 84-77"
2003 Mar 16," 44th SEC Men's Basketball Tournament: Kentucky beats Mississippi State, 64-57"
2003 Mar 17," British Cabinet Minister Robin Cook, resigns over government plans for the war with Iraq."
2003 Mar 18," FBI agents raid the corporate headquarters of HealthSouth Corporation in Birmingham, Alabama on suspicion of massive corporate fraud led by the company's top executives."
2003 Mar 18, British Sign Language is recognised as an official British language
2003 Mar 19," Airstrikes by an American and British-led coalition signal the beginning of the invasion of Iraq, without United Nations support and in defiance of world opinion"
2003 Mar 20, A US-led coalition launches a ground invasion of Iraq after an ultimatum for Saddam Hussein and his sons to leave Iraq expires
2003 Mar 22," 23rd Golden Raspberry Awards: ""Swept Away"" wins"
2003 Mar 23," In Nasiriyah, Iraq, 11 soldiers of the 507th Maintenance Company as well as 18 U.S. Marines are killed during the first major conflict of Operation Iraqi Freedom"
2003 Mar 23," 75th Academy Awards: ""Chicago Best Picture,"" Adrien Brody & Nicole Kidman win"
2003 Mar 23," Cricket World Cup, Wanderers Stadium, Johannesburg, RSA: Ricky Ponting scores 140 no as defending champions Australia beat India by 125 runs; Sachin Tendulkar, Player of Series"
2003 Mar 24, The Arab League votes 21-1 in favor of a resolution demanding the immediate and unconditional removal of U.S. and British soldiers from Iraq.
2003 Mar 28," In a ""friendly fire"" incident, two US A-10 Thunderbolt IIs from the 190th Fighter Squadron attack British tanks participating in the invasion of Iraq, killing British soldier Matty Hull"
2003 Mar 30," In a final match decider, England beats Ireland 42-6 in Dublin to complete a Grand Slam and win the Six Nations Rugby Championship; Jonny Wilkinson kicks 3 conversions, a penalty and 2 dropped goals for England"
